"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    arrange: Flask and redis deployed and integrated.
    act: Scale the app to the desired number of units.
    assert: There should be only one scheduler and as many workers as units. That will
            be checked because the scheduler is constantly sending tasks with its hostname
            to the workers, and the workers will put its own hostname and the schedulers
            hostname in Redis sets. Those sets are checked through the Flask app,
            that queries Redis.
    ","21396","test_workers_and_scheduler_services[1]","tests.integration.flask","2026-06-13","passed","2026-06-13","","test_workers","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","201535","test_loki_integration[django_app-8000]","tests.integration.integrations","2026-06-13","passed","2026-06-13","","test_loki","",""
"
    arrange: build and deploy the non-root charm.
    act: deploy the database and relate it to the charm.
    assert: requesting the charm should return a correct response indicate
        the database migration script has been executed and only executed once.
    ","48231","test_non_root_db_migration[FastAPI non-root]","tests.integration.general","2026-06-13","passed","2026-06-13","","test_non_root_db_migration","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","182371","test_loki_integration[flask_app-8000]","tests.integration.integrations","2026-06-13","passed","2026-06-13","","test_loki","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with prometheus charm.
    assert: prometheus metrics endpoint for prometheus is active and prometheus has active scrape
        targets.
    ","60819","test_prometheus_integration[fastapi_app-8080-/metrics]","tests.integration.integrations","2026-06-13","passed","2026-06-13","","test_prometheus","",""
"
    arrange: Build and deploy the charm. Integrate the charm with OpenFGA.
    act: Send a read authorization models request from the charm.
    assert: The request succeeds.
    ","63212","test_openfga_integrations[fastapi_app-8080]","tests.integration.integrations","2026-06-13","passed","2026-06-13","","test_openfga","",""
"
    arrange: The app and rabbitmq deployed
    act: Integrate the app with rabbitmq
    assert: Assert that RabbitMQ works correctly
    ","94951","test_rabbitmq_server_integration[go_app-8080-rabbitmq_k8s_app]","tests.integration.integrations","2026-06-13","passed","2026-06-13","","test_rabbitmq","",""
"
    arrange: Deploy Tempo cluster, app to test and postgres if required.
    act: Send 5 requests to the app.
    assert: Tempo should have tracing info about the app.
    ","720346","test_workload_tracing[flask_app-8000]","tests.integration.integrations","2026-06-13","broken","2026-06-13","","test_tracing","",""
"
    arrange: build and deploy the ExpressJS charm. Set the config user-defined-config to a new value.
    act: call the endpoint to get the value of the env variable related to the config.
    assert: the value of the env variable and the config should match.
    ","5768","test_user_defined_config","tests.integration.expressjs","2026-06-13","passed","2026-06-13","","test_expressjs","",""
"
    arrange: build and deploy the ExpressJS charm.
    act: call the endpoint.
    assert: the charm should respond with 200 OK.
    ","498","test_expressjs_is_up","tests.integration.expressjs","2026-06-13","passed","2026-06-13","","test_expressjs","",""
