"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Build and deploy the flask charm.","36695","test_proxy","tests.integration.flask","2026-08-01","passed","2026-08-01","","test_proxy","",""
"
    arrange: Build and deploy the charm. Integrate the charm with the smtp-integrator.
    act: Send an email from the charm.
    assert: The mailcatcher should have received the email.
    ","56951","test_smtp_integrations[expressjs_app-8080]","tests.integration.integrations","2026-08-01","passed","2026-08-01","","test_smtp","",""
"
    arrange: build and deploy the go charm.
    act: send a request to the go application managed by the go charm.
    assert: the go application should return a correct response.
    ","276","test_go_is_up","tests.integration.go","2026-08-01","passed","2026-08-01","","test_go","",""
"
    arrange: build and deploy the flask charm, and change Flask app configurations.
    act: none.
    assert: Flask application should receive the application configuration correctly.
    ","204","test_app_config[dict]","tests.integration.flask","2026-08-01","passed","2026-08-01","","test_flask_configs","",""
"
    arrange: The app and rabbitmq deployed
    act: Integrate the app with rabbitmq
    assert: Assert that RabbitMQ works correctly
    ","138014","test_rabbitmq_server_integration[flask_app-8000-rabbitmq_k8s_app]","tests.integration.integrations","2026-08-01","passed","2026-08-01","","test_rabbitmq","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","227761","test_loki_integration[django_app-8000]","tests.integration.integrations","2026-08-01","passed","2026-08-01","","test_loki","",""
"
    arrange: The app and rabbitmq deployed
    act: Integrate the app with rabbitmq
    assert: Assert that RabbitMQ works correctly
    ","94485","test_rabbitmq_server_integration[go_app-8080-rabbitmq_k8s_app]","tests.integration.integrations","2026-08-01","passed","2026-08-01","","test_rabbitmq","",""
"
    arrange: Deploy the application.
    act: Set the non-optional config options 1 by 1 and check.
    assert: At first both options should be in status message,
        when one set the charm should still be in blocked state
        with the message showing which option is missing.
        When both set charm should be in active state.
    ","101969","test_non_optional[django]","tests.integration.general","2026-08-01","passed","2026-08-01","","test_config","",""
"
    arrange: build and deploy the django charm.
    act: create a superuser using the create-superuser action.
    assert: a superuser is created by the charm.
    ","5985","test_django_create_superuser","tests.integration.django","2026-08-01","passed","2026-08-01","","test_django","",""
"
    arrange: build and deploy the non-root charm.
    act: deploy the database and relate it to the charm.
    assert: requesting the charm should return a correct response indicate
        the database migration script has been executed and only executed once.
    ","49459","test_non_root_db_migration[FastAPI non-root]","tests.integration.general","2026-08-01","passed","2026-08-01","","test_non_root_db_migration","",""
